"id","parent_id","name","link","view_new","view_edit","view_view","view_delete","icon","order_by","type","status"
"1","0","Email Template","template/listview","1","1","1","1","<i class=""fa fa-envelope-o""></i>","9","back","1"
"2","0","Manage Setting","setting/configuration","1","1","1","1","<i class=""fa fa-cogs""></i>","2","back","1"
"3","2","Setting","setting/configuration","1","1","1","1","","1","","0"
"4","0","Manage Amenities","amenities/create","1","1","1","1","<i class=""fa fa-cogs"" aria-hidden=""true""></i>","5","","0"
"5","4","Property Amenities","element/create","1","1","1","1","","1","","0"
"6","4","Property Feature","element/propertyfeature","1","1","1","1","","2","","0"
"8","0","Manage Property","property/listview","1","1","1","1","<i class=""fa fa-building-o""></i>","4","","0"
"9","0","Manage Member","users/memberlist","1","1","1","1","<i class=""fa fa-users""></i>","3","","0"
"11","0","Manage Element","#","1","1","1","1","<i class=""fa fa-deaf"" aria-hidden=""true""></i>","1","","1"
"12","11","Talent Type","element/education_talent_type","1","1","1","1","","1","","1"
"13","11","Education Type","element/education_education_type","1","1","1","1","","2","","1"
"14","11","Performer","element/performer_category","1","1","1","1","","3","","1"
"15","0","Manage Languages","language/listview","1","1","1","1","<i class=""fa fa-language"" aria-hidden=""true""></i>","6","","1"
"16","0","Manage Sports","sports/listview","1","1","1","1","<i class=""fa fa-trophy"" aria-hidden=""true""></i>","7","","1"
"17","0","Manage Dance","dance/listview","1","1","1","1","<i class=""fa fa-grav"" aria-hidden=""true""></i>","8","","1"
