"id","user_id","name","order_by","status"
"1","1","Setting-Hostel-Type","0","0"
"2","1","Setting-Hostel-Block","0","0"
"3","1","Setting-Hostel-UserType","0","0"
"4","1","Community-Manager","2","1"
"5","1","Property","5","1"
"6","1","Manager","3","1"
"7","1","Tenants","4","1"
"8","1","Bed-Allotment","6","1"
"9","1","Complain","8","1"
"10","1","Fee","7","1"
"11","1","Visitor","9","1"
"12","1","Feasibility-Property","0","0"
"13","1","psat","15","1"
"14","1","Dashboard","1","1"
"15","1","feasibility-dashboard","0","0"
"16","1","Mapping","17","1"
"17","1","Owner-Kyc","16","1"
"19","1","Contact-Us","10","1"
"20","1","Pay-Rent","11","1"
"21","1","report","12","1"
"22","1","Data-Mapping","14","1"
"23","1","Setting-Course","18","1"
"24","1","Setting-City","19","1"
"25","1","Setting-University","20","1"
"26","1","Setting-Property-Amenities","21","1"
"27","1","Report-user-log","12","1"
"28","1","For-website-property-status","22","1"
"29","1","For-website-property-orderby","23","1"
"30","1","Fee-status","8","1"
