"id","question_name","input_type","sub_question_name","weightage","option_value","status","type"
"1","1","text","Distance from market (In Metres)","4","","1",""
"2","1","text","Distance from metro/bus terminal (In Metres)","2","one,two,three","1",""
"3","1","text","Distance from University/College/institute (In Metres)","4","","1",""
"4","1","option","Conveyance availability","4","Yes,No","1",""
"5","1","option","Park availability","1","Yes,No","1",""
"6","1","text","Total student capacity in micromarket (In numbers)","5","","1",""
"7","2","text","Age of the building (In Years)","4","","1",""
"8","2","option","Quality of reception","2","Good,Average,Poor","1",""
"9","2","option","Quality of dining area","2","Good,Average,Poor","1",""
"10","2","option","Availability of kitchen","4","Yes,No","1",""
"11","2","option","Parking availability","2","Yes,No","1",""
"12","2","option","Quality of access to property","2","Good,Average,Poor","1",""
"13","2","option","Quality of furniture","4","Good,Average,Poor","1",""
"14","3","option","Power back-up","2","Yes,No","1",""
"15","3","option","EPC work quality","1","Good,Average,Poor","1",""
"16","3","option","Cleaning","2","Good,Average,Poor","1",""
"17","4","option","Business opportunity for Placio","20","Yes,No,Maybe","1",""
"18","5","option","PG License availability","3","Yes,No","1",""
"19","5","option","Food license available","2","Yes,No","1",""
"20","6","option","CCTV","1","Yes,No","1",""
"21","6","option","Security Guard","1","Not available,24 hours available,12 hours available","1",""
"22","6","option","Fire extinguisher installed","1","Yes,No","1",""
"23","6","option","Lift availability","2","Yes,No","1",""
"24","7","text","No. of beds <strong>(In Numbers)</strong>","5","","1",""
"25","7","text","Current occupancy <strong>(in %)</strong>","5","","1",""
"26","7","text","Total expected Placio rental profit generation (Amount/month)","15","","1",""
